AFRICANO,ALEMAN,ANDINO,ARABE,ARMENIO,BELGA,BRITÁNICO,CHINO,COREANO,ESCANDINAVO,ESPAÑOL,ESTE EUROPEO,FRANCES,GERMANICO,GRIEGO,HEBREO,HINDU,HOLANDES,IBERICO,ITALIANO,JAPONES,JUJUY,NOA,PORTUGUES,SUIZOS,SUR,TAILANDIA,TIERRAS BAJAS,VASCO,departamento_id,departamento_nombre,provincia_nombre,AAR,GERMANICO-ALEMAN
18,112,9,17,0,37,42,0,4,5,7902,117,141,46,44,5,3,1,70,2937,1,1,10,138,0,2,23,1,1505,018112,MONTE CASEROS,Corrientes,2,139
0,142,14,108,1,3,114,0,41,12,13204,119,221,45,1,1,36,3,118,1647,7,7,6,362,1,1,16,2,3231,018119,PASO DE LOS LIBRES,Corrientes,3,114
8,168,0,29,0,8,24,8,0,4,10787,38,84,23,0,2,1,1,26,1045,18,1,0,112,24,27,8,11,1762,018049,ESQUINA,Corrientes,5,39
5,16,3,33,0,0,20,0,0,15,5468,28,38,1,0,0,24,0,4,208,52,29,1,69,28,16,3,14,1356,018063,GENERAL PAZ,Corrientes,3,15
1,1001,39,567,0,2,354,1,1,61,106260,1401,1041,351,11,63,5,63,375,6332,155,12,44,632,7,11,0,16,18070,018021,CAPITAL,Corrientes,124,590
50,9,15,26,47,21,6,13,0,6,3864,14,18,3,0,12,31,6,1,43,35,0,46,29,17,0,0,0,701,018098,MBURUCUYA,Corrientes,1,1
0,12,1,27,0,22,8,0,40,1,6633,53,53,15,37,1,0,1,4,325,2,0,0,68,18,0,0,4,1492,018126,SALADAS,Corrientes,2,13
0,29,2,13,0,0,11,0,0,1,4957,74,72,19,44,1,36,14,10,277,6,2,2,29,0,1,13,0,945,018133,SAN COSME,Corrientes,6,28
50,16,6,4,13,0,7,3,0,5,4646,34,36,7,0,1,0,11,8,201,2,1,13,107,0,1,0,2,1953,018028,CONCEPCION,Corrientes,4,15
0,3,0,1,0,0,12,0,3,1,797,30,4,33,6,0,26,0,0,21,0,0,1,2,0,0,50,44,127,018014,BERON DE ASTRADA,Corrientes,0,0
0,49,2,30,49,0,6,1,0,0,2311,6,23,22,0,4,38,47,42,133,4,0,0,83,0,17,0,1,745,018056,GENERAL ALVEAR,Corrientes,0,25
0,13,3,8,0,0,4,0,0,0,2943,12,37,11,0,6,26,1,11,187,0,2,11,19,0,29,45,0,607,018077,ITATI,Corrientes,2,16
0,22,19,17,28,22,47,34,48,0,4882,26,69,12,1,2,16,2,94,192,9,0,29,100,0,0,34,0,593,018147,SAN MARTIN,Corrientes,0,17
50,133,29,38,8,35,32,3,0,11,9364,406,94,63,2,6,3,0,76,763,5,1,9,160,3,4,43,1,2077,018084,ITUZAINGO,Corrientes,10,90
9,20,22,42,23,34,17,0,43,1,7294,19,77,15,0,0,1,37,11,836,1,1,2,57,0,0,0,13,1938,018091,LAVALLE,Corrientes,10,5
9,78,5,54,15,1,40,0,0,1,10394,39,161,21,2,7,28,2,29,934,1,23,1,98,0,2,0,39,3031,018105,MERCEDES,Corrientes,14,31
45,21,1,2,0,0,2,41,18,1,2061,11,7,3,0,15,19,0,11,190,19,1,48,23,0,47,0,31,1058,018175,SAUCE,Corrientes,0,16
0,12,0,6,33,0,1,0,1,0,4975,25,81,5,0,0,0,7,3,191,21,0,1,7,0,33,34,46,1459,018140,SAN LUIS DEL PALMAR,Corrientes,7,2
21,172,4,77,32,33,144,6,0,8,17258,697,125,143,4,45,1,8,132,1260,18,2,1,615,2,61,30,0,4594,018168,SANTO TOME,Corrientes,21,129
38,157,10,67,33,18,138,0,1,2,23422,98,517,47,3,2,2,1,62,4133,3,43,3,251,1,0,1,1,5433,018070,GOYA,Corrientes,43,85
20,175,3,50,0,15,86,1,12,2,12357,59,118,51,1,4,1,13,34,1407,43,1,2,69,1,0,0,21,3400,018035,CURUZU CUATIA,Corrientes,18,47
0,129,12,36,18,0,40,5,1,6,8332,45,142,83,1,8,1,39,31,1001,3,0,2,70,39,0,0,3,3423,018007,BELLA VISTA,Corrientes,3,89
0,6,11,14,46,17,10,0,0,1,3626,10,7,6,7,0,0,46,3,94,10,27,1,33,49,0,0,6,1201,018154,SAN MIGUEL,Corrientes,8,2
0,45,1,17,0,0,1,0,0,0,5207,44,25,17,43,28,1,0,5,432,2,1,39,47,21,3,36,1,1620,018161,SAN ROQUE,Corrientes,4,5
0,13,1,16,0,1,22,0,0,0,5931,6,40,7,0,22,0,50,1,274,0,8,30,22,45,0,0,36,1029,018042,EMPEDRADO,Corrientes,5,14
0,17,2,19,38,0,5,0,38,1,4531,9,24,4,1,23,33,0,4,291,0,3,26,4,28,1,6,0,944,014175,TULUMBA,Córdoba,67,5
0,299,40,242,3,11,103,9,0,12,24634,385,432,139,5,30,6,4,100,6614,24,20,147,46,3,15,0,4,6398,014147,SANTA MARIA,Córdoba,64,164
0,56,18,175,0,47,26,0,30,2,15583,68,147,25,3,2,2,4,14,963,3,1,170,10,0,89,42,4,3221,014028,CRUZ DEL EJE,Córdoba,10,39
2,756,103,465,6,7,335,6,0,33,38198,966,858,281,13,43,10,32,349,11076,82,27,128,207,20,144,0,4,8500,014091,PUNILLA,Córdoba,75,498
34,7,1,20,0,0,9,0,0,31,4040,36,33,1,23,0,20,0,6,204,37,1,9,5,0,0,14,21,1342,014112,RIO SECO,Córdoba,18,3
1,1480,82,307,20,6,325,73,0,96,36401,431,850,436,11,12,9,78,209,30659,106,3,80,162,42,8,24,8,9528,014140,SAN JUSTO,Córdoba,32,421
40,50,11,54,0,0,38,1,48,2,13904,68,158,39,47,4,1,5,40,1064,5,2,17,24,1,4,0,0,2267,014126,SAN ALBERTO,Córdoba,8,73
0,4,1,2,34,0,1,43,6,0,1819,6,8,0,1,0,0,3,3,52,9,3,5,47,0,0,0,18,306,014070,MINAS,Córdoba,1,0
0,117,35,69,0,1,37,30,17,2,9849,102,142,37,6,29,6,1,46,3730,3,1,11,33,5,2,32,1,2532,014105,RIO PRIMERO,Córdoba,19,28
10,193,22,172,0,17,132,0,0,12,20743,221,428,71,28,4,17,20,179,13216,27,3,74,128,13,16,9,0,5867,014119,RIO SEGUNDO,Córdoba,32,136
32,305,21,87,28,1,61,0,0,9,14383,248,184,171,3,5,3,5,54,3073,9,14,35,91,7,10,9,50,2537,014007,CALAMUCHITA,Córdoba,31,304
34,102,31,92,0,0,34,1,37,12,16243,156,195,38,3,8,3,6,34,1556,8,3,6,39,13,4,0,0,3447,014133,SAN JAVIER,Córdoba,7,51
45,1,3,4,24,9,4,0,45,1,1524,3,6,1,2,29,10,1,18,69,32,5,0,2,9,1,9,3,320,014154,SOBREMONTE,Córdoba,2,3
1,783,188,551,6,32,307,5,11,77,52975,964,915,213,19,17,75,26,337,13350,72,82,359,144,10,78,45,14,11404,014021,COLON,Córdoba,148,418
2,393,89,156,10,1,125,4,0,37,28480,369,607,216,4,19,22,17,268,15586,8,9,57,59,10,31,0,2,6419,014042,GRAL SAN MARTIN,Córdoba,96,290
0,53,4,49,0,0,36,0,0,0,8723,62,140,30,9,0,2,1,57,4542,4,1,1,25,1,7,0,0,1652,014035,GENERAL ROCA,Córdoba,18,83
38,296,60,81,31,8,89,1,8,13,9917,164,320,100,45,5,15,11,67,7931,11,2,24,26,26,8,0,2,2513,014056,JUAREZ CELMAN,Córdoba,38,170
0,800,77,378,6,1,423,1,0,60,59201,755,1301,311,3,44,31,29,533,33605,29,25,84,214,26,23,0,2,11151,014098,RIO CUARTO,Córdoba,73,601
3,4129,1091,4865,37,61,2978,58,17,337,390269,5911,6360,1642,219,222,114,233,2078,101798,553,450,1544,982,69,558,15,50,67868,014014,CAPITAL,Córdoba,1192,2653
0,141,2,108,1,0,40,50,19,7,6612,108,202,73,0,0,5,1,101,4918,21,2,14,45,1,9,0,0,1516,014084,ROQUE SAENZ PEÑA,Córdoba,19,95
0,2,41,3,50,0,1,0,0,2,1735,4,4,1,29,1,5,34,2,53,33,0,1,2,0,2,14,39,350,014077,POCHO,Córdoba,0,3
0,33,21,41,0,5,24,0,36,10,6739,29,43,13,0,1,0,0,10,1329,2,1,9,8,0,7,37,0,888,014168,TOTORAL,Córdoba,5,19
29,420,58,226,2,2,156,12,0,54,16411,432,524,111,1,11,9,28,143,18391,10,5,58,78,10,48,0,1,4438,014182,UNION,Córdoba,100,239
16,52,13,54,3,9,52,1,0,3,6814,101,87,18,2,8,4,2,12,905,2,2,78,6,36,17,45,1,2455,014049,ISCHILIN,Córdoba,9,25
0,202,63,228,0,1,150,7,0,12,31206,264,411,99,39,1,8,5,192,14547,25,12,84,80,2,8,12,2,4425,014161,TERCERO ARRIBA,Córdoba,45,176
4,271,22,324,0,4,190,1,0,51,19706,592,695,132,10,6,46,10,212,17785,16,20,28,75,19,26,0,1,4474,014063,MARCOS JUAREZ,Córdoba,59,360
0,2,1,11,35,4,5,1,0,0,4323,16,2,31,46,28,0,0,1,38,38,7,9,1,21,0,3,1,726,086021,ATAMISQUI,Santiago del Estero,0,0
0,4,1,5,46,9,1,0,20,50,2165,0,7,0,0,6,0,1,2,20,0,0,18,5,0,27,21,1,651,086189,SILIPICA,Santiago del Estero,0,0
0,1,0,11,43,0,2,24,0,0,2793,2,56,29,45,0,30,0,0,34,21,3,5,2,0,0,0,0,556,086084,GUASAYAN,Santiago del Estero,2,1
0,22,2,17,0,38,17,3,0,2,3885,10,39,6,0,1,41,1,1,73,22,0,62,3,0,2,0,38,631,086014,ALBERDI,Santiago del Estero,1,2
41,8,1,8,2,0,4,2,11,1,2530,14,40,0,3,0,1,0,2,58,5,0,2,2,43,0,9,0,882,086140,QUEBRACHOS,Santiago del Estero,0,0
42,38,19,119,32,1,43,0,0,35,12661,173,212,20,1,5,10,3,13,551,1,3,119,11,13,0,37,1,2444,086161,ROBLES,Santiago del Estero,11,2
37,32,0,35,41,0,6,41,0,0,2804,4,48,1,0,0,3,2,7,192,0,42,28,1,2,0,0,0,698,086007,AGUIRRE,Santiago del Estero,0,1
0,177,128,589,2,19,136,2,25,16,41208,268,498,10,2,5,14,9,10,2551,8,6,291,48,2,4,20,8,6375,086035,BANDA,Santiago del Estero,8,5
46,57,15,70,22,0,41,0,19,8,9893,42,170,9,50,1,1,5,1,293,4,1,125,19,0,0,33,3,1231,086119,MORENO,Santiago del Estero,2,6
0,17,2,17,39,4,23,35,0,36,2895,9,13,4,23,0,21,0,0,33,0,20,3,2,0,12,0,0,620,086175,SAN MARTIN,Santiago del Estero,2,1
30,70,3,62,1,17,15,0,1,1,6029,52,47,1,0,1,0,1,3,124,0,1,117,10,0,1,0,1,1180,086028,AVELLANEDA,Santiago del Estero,0,29
0,1,0,9,15,1,1,0,29,0,2608,3,33,0,0,1,40,1,0,41,4,0,3,3,13,0,38,37,951,086168,SALAVINA,Santiago del Estero,0,0
29,62,36,170,11,2,33,5,1,6,14788,18,74,3,9,11,5,3,3,428,4,3,21,65,1,1,0,35,1592,086063,CHOYA,Santiago del Estero,4,8
0,28,1,73,1,8,37,0,44,1,7868,3,22,1,0,0,0,0,7,120,2,0,13,2,0,10,18,0,1132,086105,LORETO,Santiago del Estero,3,5
0,9,1,12,0,49,8,13,0,5,5089,3,28,3,0,2,42,30,1,62,1,1,2,4,0,2,0,1,602,086091,JIMENEZ,Santiago del Estero,0,5
30,2,2,5,0,0,7,20,0,1,4580,9,17,0,1,43,21,17,0,92,0,2,7,0,1,1,7,0,1995,086126,OJO DE AGUA,Santiago del Estero,0,1
0,66,1,15,0,6,10,3,15,3,1161,9,42,3,2,6,44,1,32,614,7,11,2,6,2,14,43,0,315,086154,RIVADAVIA,Santiago del Estero,0,1
0,10,1,44,15,23,18,0,42,0,7311,26,64,41,48,13,7,1,1,91,0,0,34,2,0,0,32,15,667,086098,MATARA,Santiago del Estero,1,1
13,78,4,25,0,0,14,2,2,3,2365,23,38,1,0,4,0,8,10,513,37,14,80,6,1,15,21,35,741,086042,BELGRANO,Santiago del Estero,0,3
0,8,15,2,30,0,4,24,0,0,1132,1,15,0,0,1,0,8,31,8,40,0,4,32,49,0,0,0,179,086182,SARMIENTO,Santiago del Estero,0,1
18,10,5,85,0,0,31,0,48,6,7768,19,110,4,0,1,0,3,2,147,1,3,50,4,8,1,0,7,1547,086056,COPO,Santiago del Estero,0,2
21,916,60,2284,6,83,405,3,36,105,82736,511,1104,28,36,22,16,30,57,8451,51,17,407,223,4,5,0,19,11190,086049,CAPITAL,Santiago del Estero,41,53
30,3,27,23,26,0,16,0,2,48,7554,4,157,1,26,18,0,45,1,47,0,49,65,10,34,10,0,2,870,086070,FIGUEROA,Santiago del Estero,0,0
6,90,21,187,0,1,24,0,0,4,21480,33,97,2,3,1,2,3,5,522,0,4,8,16,1,3,0,40,2235,086147,RIO HONDO,Santiago del Estero,14,4
0,92,8,116,8,1,36,0,20,26,13470,70,152,2,2,2,13,10,3,541,29,0,292,12,29,11,0,20,1465,086077,TABOADA,Santiago del Estero,33,4
