AFRICANO,ALEMAN,ANDINO,ARABE,ARMENIO,BELGA,BRITÁNICO,CHINO,COREANO,ESCANDINAVO,ESPAÑOL,ESTE EUROPEO,FRANCES,GERMANICO,GRIEGO,HEBREO,HINDU,HOLANDES,IBERICO,ITALIANO,JAPONES,JUJUY,NOA,PORTUGUES,SUIZOS,SUR,TAILANDIA,TIERRAS BAJAS,VASCO,departamento_id,departamento_nombre,provincia_nombre
18,112,9,17,0,37,42,0,4,5,7902,22,101,46,44,5,3,1,70,2320,1,1,10,138,0,2,23,1,1351,018112,MONTE CASEROS,Corrientes
0,142,14,95,1,3,114,0,41,12,13204,35,118,45,1,1,36,3,118,1296,2,7,6,362,1,1,16,2,3006,018119,PASO DE LOS LIBRES,Corrientes
8,168,0,25,0,8,24,8,0,4,10787,23,69,23,0,2,1,1,26,825,18,1,0,112,24,27,8,11,1694,018049,ESQUINA,Corrientes
5,16,3,18,0,0,20,0,0,15,5468,5,27,1,0,0,24,0,4,183,50,29,1,69,28,16,3,14,1324,018063,GENERAL PAZ,Corrientes
1,1001,39,479,0,2,354,1,1,61,106260,244,892,351,11,63,5,63,375,4459,44,12,44,632,7,11,0,16,16391,018021,CAPITAL,Corrientes
50,9,15,22,47,21,6,13,0,6,3864,2,15,3,0,12,31,6,1,34,35,0,46,29,17,0,0,0,694,018098,MBURUCUYA,Corrientes
0,12,1,27,0,22,8,0,40,1,6633,19,48,15,37,1,0,1,4,272,1,0,0,68,18,0,0,4,1444,018126,SALADAS,Corrientes
0,29,2,10,0,0,11,0,0,1,4957,10,63,19,44,1,36,14,10,220,4,2,2,29,0,1,13,0,897,018133,SAN COSME,Corrientes
50,16,6,4,13,0,7,3,0,5,4646,7,22,7,0,1,0,11,8,185,2,1,13,107,0,1,0,2,1937,018028,CONCEPCION,Corrientes
0,3,0,1,0,0,12,0,3,1,797,30,4,33,6,0,26,0,0,21,0,0,1,2,0,0,50,44,125,018014,BERON DE ASTRADA,Corrientes
0,49,2,27,49,0,6,1,0,0,2311,0,15,22,0,4,38,47,42,107,1,0,0,83,0,17,0,1,714,018056,GENERAL ALVEAR,Corrientes
0,13,3,7,0,0,4,0,0,0,2943,3,31,11,0,6,26,1,11,148,0,2,11,19,0,29,45,0,570,018077,ITATI,Corrientes
0,22,19,17,28,22,47,34,48,0,4882,8,41,12,1,2,16,2,94,166,1,0,29,100,0,0,34,0,562,018147,SAN MARTIN,Corrientes
50,133,29,36,8,35,32,3,0,11,9364,78,81,63,2,6,3,0,76,652,2,1,9,160,3,4,43,1,2000,018084,ITUZAINGO,Corrientes
9,20,22,30,23,34,17,0,43,1,7294,5,49,15,0,0,1,37,11,619,1,1,2,57,0,0,0,13,1887,018091,LAVALLE,Corrientes
9,78,5,32,15,1,40,0,0,1,10394,4,139,21,2,7,28,2,29,785,1,23,1,98,0,2,0,39,2933,018105,MERCEDES,Corrientes
45,21,1,2,0,0,2,41,18,1,2061,1,4,3,0,15,19,0,11,141,16,1,48,23,0,47,0,31,1039,018175,SAUCE,Corrientes
0,12,0,6,33,0,1,0,1,0,4975,0,60,5,0,0,0,7,3,182,21,0,1,7,0,33,34,46,1402,018140,SAN LUIS DEL PALMAR,Corrientes
